Country,Activity,Location,Sex,Fatal Y/N,Species,Type
Australia,Surfing related,Granites Beach near Westall Streaky Bay,M,Yes,Great White Shart estimated 4.8m 16 ft,Unprovoked
Mozambique,Diving related,?,M,Yes,Unknown,Unprovoked
Egypt,Diving related,Red Sea,M,No,Reportedly a Tiger Shark,Unprovoked
Egypt,Diving related,Red Sea,M,Yes,Reportedly a Tiger Shark,Unprovoked
Australia,Fishing related,Humpy Island Great Keppel Island,M,Yes,Unknown ,Unprovoked
Australia,Fishing related,Curtis Island Near Gladstone QLD central coast,M,No,Not stated,Unprovoked
Australia,Surfing related,Greenough River Mouth Beach Cape Burney 12km south of Geraldton,M,No,1m shark species unknown,Unprovoked
Thailand,Swimming related,Khao Lak Beach,F,No,Unknown,Unprovoked
New Zealand,Diving related,Chatham Islands,M,Yes,Great White Shark,Unprovoked
Maldives,Diving related,Maafushi,F,No,Not stated,Unprovoked
Hawaii,Surfing related,Sand Piles Waiehu Beach Park,M,No,Not stated,Unprovoked
Australia,Diving related,Whitsunday Islands,F,No,Reported as a large Tiger shark,Unprovoked
USA,Surfing related,"Bathtub Beach, Martin County",M,No,Bull or tiger 7-8ft,Unprovoked
Honduras,Swimming related,Atlantida,M,No,Bull shark,Unprovoked
USA,Surfing related,Brevard County Orlando,M,No,Bull shark 6ft,Unprovoked
Indonesia,Diving related,Pulau Reong Island,F,Yes,Large Tiger shark  ,Questionable
Honduras,Diving related,Puerto Castillo,M,No,Bull shark 6-7ft,Unprovoked
Morocco,Swimming related,West of Dakhla,F,Yes,Reportedly a Great White,Unprovoked
Jamaica,Fishing related,Falmouth,M,Yes,Reportedly Tiger Shark,Unprovoked
Belize,Swimming related,Central America,F,No,Reef shark 6ft (1.8m),Unprovoked
Australia,Surfing related,"North Shore Beach, Port Macquarie",M,No,3m White Shark,Unprovoked
Australia,Surfing related,Trigg beach Sterling,M,No,Undetermined small shall shark,Unprovoked
USA,Diving related,Ponce de Leon Inlet Volusia County,M,No,4-5ft Blacktip shark,Unprovoked
Australia,Fishing related,14 Mile Beach Coral Bay (Gascoyne Region),M,No,Undetermined,Unprovoked
USA,Swimming related,New Smyrna Beach,M,No,Not specified,Unprovoked
USA,Swimming related,South Padre Island,F,No,Bull shark 6 ft,Unprovoked
USA,Swimming related,South Padre Island,F,No,6 ft shark,Unprovoked
USA,Swimming related,South Padre Island,F,No,6 ft shark,Unprovoked
USA,Other,New Smyrna Beach,M,No,Not specified,Unprovoked
USA,Swimming related,New Smyrna Beach Beach Access 14 Volusia County,M,No,6ft shark,Unprovoked
USA,Surfing related,Goat Island (Moku'auia) La'ie Bay,M,Unknown,Not stated,Unprovoked
USA,Swimming related,"Haleiwa, Oahu",F,No,Not stated area has Tiger and Galapogas sharks,Unprovoked
USA,Swimming related,Rosemary Beach Walton County,F,No,Not specified Bull shark highly suspect,Unprovoked
USA,Swimming related,Water Sound  Beach Walton County,F,No,Not specified Bull shark highly suspect,Unprovoked
USA,Swimming related,Del Mar Beach San Diego,M,No,Not specified,Unprovoked
Maldive Islands,Other,Indian Ocean,M,Yes,Not specified,Unprovoked
USA,Swimming related,Jamaica Beach,F,No,Not specified,Unprovoked
Turks and Caicos,Other,Leward reef,M,No,Large shark,Unprovoked
French Polynesia,Diving related,Mangareva Atoll,M,No,2.5m shark,Unprovoked
USA,Fishing related,Y-73' Ledge reef Chareston Coast,M,No,3m Sandbar shark,Unprovoked
Tobago,Swimming related,Turtle beach,M,No,Bull shark 3m ,Unprovoked
Bahamas,Other,Flying Fish Marina,M,No,Carribean reef shark 7ft,Unprovoked
Australia,Fishing related,West beach Glenelg,M,No,Great White,Unprovoked
Australia,Surfing related,Lighthouse bombie surf spot Exemouth,M,No,Not specified,Unprovoked
Maldive Islands,Swimming related,Unspecified,M,No,Not specified,Unprovoked
AUSTRALIA,Swimming related,Bargara Beach,F,No,Tiger shark,Unprovoked
USA,Surfing related,"Old Man's, Waikiki",M,No,Tiger shark 8',Unprovoked
USA,Swimming related,"Rainbows, Oahu",F,No,3' to 4' shark,Unprovoked
AUSTRALIA,Swimming related,"Sandlnd Island, Jurian Bay",F,No,Tiger shark,Unprovoked
