Country,Activity,Location,Sex,Fatal Y/N,Species,Type
USA,Surfing related,"Cocoa Beach, Brevard County",M,No,,Unprovoked
USA,Surfing related,"Melbourne Beach, Brevard County",M,No,,Unprovoked
USA,Swimming related,"Tampa Bay, Manatee County",M,Yes,Said to involve a tiger shark or a hammerhead shark,Unprovoked
USA,Surfing related,"Patrick Air Force Base, Brevard County",M,No,,Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,6' shark,Unprovoked
USA,Fishing related,Gulf Island National Seashore Park,M,No,"1.8 m [6'] shark, species identity questionable",Provoked
USA,Fishing related,"Keaukaha, Hilo, Hawai'i",M,Unknown,Shark involvement prior to death remains unconfirmed,Invalid
USA,Diving related,"Marathon, Monroe County",M,No,small nurse shark,Unprovoked
USA,Swimming related,"Ormond Beach / Daytona Beach, Volusia County",F,Yes,,Unprovoked
BAHAMAS,Surfing related,"Gingerbread Reef, east of Little Isaac Island ",M,No,Mako shark (tooth fragments recovered),Unprovoked
USA,Swimming related,"St. Petersburg Beach, Pinellas County",F,No,"""sandshark""",Unprovoked
SOUTH AFRICA,Surfing related,Nahoon,M,No,Possibly a  1.8 m [6'] Zambezi shark,Unprovoked
USA,Fishing related,Carter Cay,M,No,2.4 m [8'] shark,Unprovoked
SOUTH AFRICA,Other,Clansthal,M,No,"""gray shark""",Unprovoked
ENGLAND,Fishing related,Isle of Wight,M,No,"13', 400-lb thresher shark",Watercraft
USA,unknown,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",M,Unknown,Shark involvement prior to death was not confirmed,Invalid
USA,Fishing related,"Ha'ena Beach Park, Kaua'i",M,Yes,,Unprovoked
SOUTH KOREA,Diving related,Wae-yeon Island,F,Yes,6 m  white shark,Unprovoked
SOUTH AFRICA,Surfing related,Nahoon,M,No,Raggedtooth shark,Unprovoked
USA,Diving related,"Sands Cut, Elliot Key",M,No,,Unprovoked
USA,Diving related,"Jacksonville, Duval County",M,No,Lemon shark,Unprovoked
SOUTH AFRICA,Surfing related,King’s Beach,M,No,"Raggedtooth shark, 2.5 m [8.25'] ",Unprovoked
NAMIBIA,Other,Walvis Bay,M,No,,Provoked
BERMUDA,Other,,Unknown,No,,Sea Disaster
SOUTH AFRICA,Surfing related,Ntlonyane Bay,M,No,"Tiger shark, 2.1 m [7']",Unprovoked
USA,Other,"Singer Island, Riviera Beach, Palm Beach County",M,No,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",Unprovoked
USA,Surfing related,"Singer Island, Riviera Beach, Palm Beach County",M,No,C. maculpinnis or C. limbatus,Unprovoked
CHILE,Fishing related,"Bahia Totoralillo, 80  km north of Coquimbo",M,No,White shark,Unprovoked
BRAZIL,Diving related,Cabo Frio,Unknown,Unknown,White shark,Unprovoked
SOUTH AFRICA,Swimming related,Umtentweni,M,No,Juvenile dusky or blacktip shark,Unprovoked
AUSTRALIA,Other,"Leighton Beach, north of Freemantle",M,No,1 m hammerhead shark,Unprovoked
AUSTRALIA,unknown,"Parker's Point, Rottnest Island",Unknown,Unknown,,Unprovoked
USA,Surfing related,"Juno Beach, Palm Beach County",M,No,1.8 m to 2.4 m [6' to 8'] hammerhead shark,Unprovoked
BRAZIL,Fishing related,Cabo Frio,Unknown,No,,Unprovoked
USA,Fishing related,20 miles from Mayport,M,No,Tiger shark,Unprovoked
SOUTH AFRICA,Swimming related,Widenham,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
AUSTRALIA,Surfing related,Byron Bay,M,No,"Tiger shark, 2.5 m ",Unprovoked
GREECE,Fishing related,,M,No,,Unprovoked
SOUTH AFRICA,Other,Nahoon,M,No,3.5 m [11.5'] shark,Unprovoked
SOUTH AFRICA,unknown,Port Elizabeth,Unknown,Unknown,Shark involvement prior to death was not confirmed,Invalid
REUNION,Fishing related,Petite-Ile,M,No,1.8 m [6'] white shark,Unprovoked
AUSTRALIA,Swimming related,Lancelin,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Mnini,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
BRAZIL,Swimming related,Piedade,M,Yes,,Unprovoked
USA,Surfing related,Off Umpqua River,M,No,4 m to 5 m [13' to 16.5'] white shark,Unprovoked
USA,Surfing related,"Moonstone Beach, Humboldt County",M,No,4 m to 5 m [13' to 16.5'] white shark,Unprovoked
MEXICO,Diving related,,M,Yes,,Unprovoked
USA,Swimming related,"Grand Isle, Jefferson Parish",M,No,"""sandshark""",Unprovoked
USA,Swimming related,"Ocean Isle, Brunswick County",F,No,,Unprovoked
USA,Other,"Puamana, Lahaina, Maui",M,No,"Tiger shark, 4.3 m [14'] ",Unprovoked
SPAIN,Diving related,"San Juan de la Rambla, Tenerife",M,No,Blue shark,Unprovoked
USA,Surfing related,"Ocean City, Cape May County",M,No,,Unprovoked
USA,Swimming related,Dewey Beach,F,No,4' to 8' shark,Unprovoked
USA,Surfing related,"Emerald Isle Pier (near Morehead City), Carteret County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Diving related,"Off San Clemente Island, Los Angeles County",F,No,Blue shark,Provoked
SOUTH AFRICA,Surfing related,Fuller’s Bay,M,No,1.8 m [6'] shark,Unprovoked
JAMAICA,Fishing related,"Priestman's River area, East Portland",M,No,,Provoked
PHILIPPINES,Other,"Maestre de Campo Island, 120 miles south of Manila",Unknown,Yes,,Sea Disaster
MEXICO,Surfing related,Mazatlán,F,No,Tiger shark,Unprovoked
SOUTH AFRICA,Diving related,Umdhloti,M,Yes,Tiger shark,Unprovoked
BRAZIL,Swimming related,"Copacabana Beach, Rio de Janiero",M,No,2 m shark,Unprovoked
PHILIPPINES,Other,250 miles southwest of Manila,F,Yes,,Sea Disaster
SOUTH AFRICA,Fishing related,Velddrif,M,No,1.5 m [5'] hammerhead shark,Provoked
SOUTH AFRICA,Surfing related,Ballito,M,No,"2.8 m [9'3""] white shark",Unprovoked
KENYA,Fishing related,South of Lamu Island,M,No,2.2 m shark,Unprovoked
SOUTH AFRICA,Fishing related,Anstey’s,M,No,"2 m [6'9""] Zambesi shark",Provoked
SOUTH AFRICA,Swimming related,Sardinia Bay,M,No,Hammerhead shark,Unprovoked
SOUTH AFRICA,Swimming related,King’s Beach,M,No,"Raggedtooth shark, 2 m [6'9""] ",Unprovoked
CHILE,Diving related,"Punta Negra, Pichidangui",M,Yes,White shark,Unprovoked
NORTH ATLANTIC OCEAN,Other,Onboard swordfish trawler,M,No,1.8 m [6'] dogfish,Provoked
GREECE,Surfing related,,M,Unknown,Said to involve a white shark but shark involvement not confirmed,Invalid
SOUTH AFRICA,Fishing related,Bonza Bay,M,Unknown,Invalid,Invalid
TONGA,Fishing related,Ha'ano Island,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Kenton-on-Sea,M,No,,Unprovoked
PORTUGAL,Fishing related,"Sao Jorge, Madeira Island",M,Yes,White shark?,Invalid
SOUTH CHINA SEA,Diving related,,M,No,6' shark,Unprovoked
USA,Surfing related,"Haystack Rock, Cannon Beach, Clatsop County",M,No,"White shark, 4 m [13'] ",Unprovoked
SOUTH AFRICA,Fishing related,Macassar,Unknown,No,"White shark, 5 m ",Provoked
SOUTH AFRICA,Fishing related,Algoa Bay,M,No,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed ",Provoked
AUSTRALIA,Diving related,Byron Bay,M,No,"""a small shark""",Unprovoked
HONG KONG,Swimming related,Mirs Bay,M,Yes,,Unprovoked
HONG KONG,unknown,,M,Yes,,Unprovoked
USA,Boating related,"Daytona Beach, Volusia County",M,No,,Unprovoked
THAILAND,Other,,M,Yes,,Unprovoked
USA,Other,10 miles off Cape Canaveral,M,No,,Sea Disaster
USA,Diving related,"Fort Walton Beach, Okaloosa County",M,Unknown,Shark involvement prior to death was not confirmed,Invalid
SOUTH AFRICA,Fishing related,"Hangklip, False Bay",M,No,"White shark, 2.5 m [8.25']  ",Provoked
SOUTH AFRICA,Diving related,Mbibi,M,Yes,,Unprovoked
NEW CALEDONIA,Fishing related,Ile Yandé (between Poum and Bélep),Unknown,No,,Unprovoked
NEW CALEDONIA,unknown,Balade,M,Yes,2 m shark,Unprovoked
USA,Swimming related,"Public Beach (Carlin Park), Jupiter, Palm Beach County",M,No,,Unprovoked
USA,Surfing related,"Municipal Beach, Boyton Beach, Palm Beach County",M,No,,Unprovoked
USA,Surfing related,"Singer Island, Riviera Beach, Palm Beach County",M,No,Blacktip or spinner shark,Unprovoked
USA,Diving related,"Ano Nuevo Island, San Mateo, County",M,No,"White shark, 4 m to 5 m [13' to 16.5'] ",Unprovoked
SOUTH AFRICA,unknown,Seal Island,Unknown,No,,Watercraft
NEW CALEDONIA,Fishing related,"Five Mile Beach, I'le Ouen",M,Yes,,Unprovoked
SOUTH AFRICA,Surfing related,Port Alfred,M,No,1.5 m to 2 m [5' to 6.75'] shark,Unprovoked
USA,Fishing related,"South Kohala, Hawai'i",M,Yes,,Unprovoked
AUSTRALIA,unknown,Bribie Island,M,No,,Unprovoked
SOUTH AFRICA,Fishing related,Sodwana,M,Yes,"White shark, 2.3 m [7.5'], tooth fragment recovered",Unprovoked
USA,Surfing related,"Ewa, O'ahu",M,No,2.4 m [8'] shark,Unprovoked
USA,Surfing related,"Jupiter, Palm Beach County",M,No,,Unprovoked
SOUTH AFRICA,Fishing related,"Fishing camp, St. Lucia Estuary",M,Unknown,Shark involvement prior to death was not confirmed,Invalid
SOUTH AFRICA,Fishing related,"Miller's Point, False Bay",M,No,"White shark, 3.7 m [12'] ",Unprovoked
ITALY,Diving related,Capo d'Anzio,M,No,"White shark, 5 m [16.5'] ",Unprovoked
USA,unknown,Santa Barbara,M,No,small blue shark,Unprovoked
AUSTRALIA,Diving related,"Cape Pillar, Storm Bay",M,No,15' shark,Unprovoked
USA,Swimming related,"Pajaro Dunes, Santa Cruz County",M,No,"2 m [6'9""] shark",Unprovoked
USA,Other,Florida Straits,M,No,,Unprovoked
USA,Other,,M,No,,Sea Disaster
USA,Fishing related,"Newport Beach, Orange County",M,No,,Provoked
USA,Surfing related,"South of Neptune Beach, Duval County",M,No,,Unprovoked
USA,Surfing related,"Neptune Beach, Duval County",M,No,,Unprovoked
ITALY,unknown,Acqua alta research platform,Unknown,Unknown,Invalid,Invalid
MARSHALL ISLANDS,Diving related,Enewetak Atoll,M,No,,Unprovoked
MARSHALL ISLANDS,Diving related,Enewetak Atoll,M,No,,Unprovoked
AUSTRALIA,Diving related,Beechford,M,No,"Sevengill shark, 2.4 m",Unprovoked
SOUTH AFRICA,unknown,"Gulu Deep, East London",Unknown,No,,Watercraft
SOUTH AFRICA,Fishing related,"Seal Island, False Bay",Unknown,No,270 kg shark,Unprovoked
SOUTH AFRICA,Diving related,"Miller's Point, False Bay",M,No,White shark,Unprovoked
SOUTH AFRICA,Surfing related,Glenashley,M,No,Thought to involve a blacktip shark,Unprovoked
SOUTH AFRICA,unknown,Cape Vidal,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
USA,Surfing related,"Cocoa Beach, Brevard County",F,No,,Unprovoked
VANUATU,Swimming related,"Ranon, Ambryn",F,Yes,,Unprovoked
USA,Swimming related,2 miles off Keahole Airport,M,No,,Sea Disaster
USA,Surfing related,"Hobe Sound, Palm Beach County",M,No,,Unprovoked
SOUTH AFRICA,Surfing related,Qolera River,M,No,"Tiger shark, 3 m [10']",Unprovoked
SOUTH AFRICA,Fishing related,"Macassar, False Bay",Unknown,No,3 m [10'] white shark (Tooth  recovered from boat),Watercraft
SOUTH AFRICA,Swimming related,Klein River Lagoon,M,No,1.5 to 2 m [5' to 6.75'] shark,Provoked
SOUTH AFRICA,Fishing related,"Bluegums Rock, Partridge Point",M,No,"White shark, 5 m [16.5'] ",Unprovoked
AUSTRALIA,Surfing related,"Cactus Beach, near Ceduna",M,No,White shark,Unprovoked
AUSTRALIA,Other,"Buddina Beach, south of Noosa",M,Yes,,Unprovoked
SOUTH AFRICA,Fishing related,Off Macassar Beach,M,No,White shark,Watercraft
USA,Surfing related,"McClure Beach, near Tomales Point, Marin County",M,No,"White shark, 5.5 m to 6 m [18' to 20']  ",Unprovoked
USA,Swimming related,"St. Petersburg, Pinellas County",M,Unknown,Shark involvement not confirmed,Invalid
USA,Fishing related,"Off San Diego, San Diego County",M,No,,Sea Disaster
USA,Fishing related,"12 miles northeast of Mayport,  Duval County",M,No,"Bull shark, 8",Provoked
USA,Other,Padre Island,M,No,"Bull shark, 4' to 5' ",Unprovoked
SOUTH AFRICA,Fishing related,13 km off Knysna ,M,No,"Mako shark, 2.3 m, 150-kg  ",Watercraft
AUSTRALIA,unknown,Southport,M,Unknown,,Invalid
AUSTRALIA,unknown,Tallebudgera,M,No,,Unprovoked
USA,Swimming related,"Ka'anapali, Maui",M,No,1.2 m [4'] shark,Unprovoked
SOUTH AFRICA,Swimming related,"Lappiesbaai Beach, Stilbaai",M,No,,Unprovoked
AUSTRALIA,Other,Near Moreton Island in Moreton Bay,M,No,,Sea Disaster
AUSTRALIA,Other,Near Moreton Island in Moreton Bay,M,Yes,,Sea Disaster
AUSTRALIA,Other,Near Moreton Island in Moreton Bay,M,Yes,,Sea Disaster
AUSTRALIA,Surfing related,"Kingscliffe Beach, south of Tweed Heads",M,No,4 m [13'] shark,Unprovoked
AUSTRALIA,unknown,Sorrento Back Beach,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
NEW CALEDONIA,unknown,I'le Ouen,Unknown,No,,Unprovoked
MEXICO,Swimming related,La Playa Hornos (near Acapulco),M,Yes,,Unprovoked
AUSTRALIA,unknown,Caloundra,M,No,,Unprovoked
USA,Diving related,"San Miguel Island, Santa Barbara County",M,No,"White shark, 5.5 m [18'] ",Unprovoked
SOUTH AFRICA,Other,Clifton,M,No,"White shark, 3 m [10'] k",Unprovoked
AUSTRALIA,unknown,Southport Bar,Unknown,Unknown,Shark involvement prior to death was not confirmed,Invalid
USA,Surfing related,"Delray Beach, Palm Beach County",M,No,2.1 m [7'] lemon shark or bull shark,Unprovoked
SOUTH AFRICA,Swimming related,Warner Beach,M,Unknown,Questionable incident,Invalid
SOUTH AFRICA,Fishing related,Macassar,Unknown,No,"White shark, 4.8 m ",Provoked
SOUTH AFRICA,Other,Gordon’s Bay,Unknown,No,White shark,Watercraft
USA,Surfing related,"Moonstone Beach, Humboldt County",M,No,"White shark, 3 m to 4 m [10' to 13'] ",Unprovoked
SOUTH AFRICA,Surfing related,Cape St. Francis,M,No,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",Unprovoked
NEW CALEDONIA,Other,Sarcelle,Unknown,No,,Sea Disaster
AUSTRALIA,Diving related,"Point Lowly, north of Whyalla",M,No,2.7 m  [9'] shark,Unprovoked
HONG KONG,Other,,M,Yes,,Sea Disaster
USA,Swimming related,"Jacksonville, Duval County",M,Yes,,Unprovoked
USA,Swimming related,"Jacksonville, Duval County",M,Yes,,Unprovoked
USA,Surfing related,"Sebastian, Indian River County",M,No,"Tiger shark, 6' ",Unprovoked
USA,Surfing related,"Emerald Isle Pier (near Morehead City), Carteret County",M,No,,Unprovoked
USA,Surfing related,Winchester Bay,M,No,"White shark, 4.5 m ",Unprovoked
USA,Fishing related,St. Lucie County,M,No,,Unprovoked
USA,Other,Scofield - Sandy Point,M,No,,Unprovoked
USA,Diving related,"Maha'ulepu, Koloa, Kaua'i",M,Yes,,Unprovoked
USA,Fishing related,St. Lucie County,M,No,6' to 8' shark,Unprovoked
USA,Diving related,"St. Andrews State Park, Bay County",M,No,12' to 14' shark,Unprovoked
USA,Swimming related,"Kama'ole Beach, Park No. 1, Kihei, Maui",M,No,0.9 m to 1.5 m [3' to 5'] shark,Unprovoked
ITALY,Fishing related,Bovalino,M,No,"Blue shark, 2m ",Provoked
AUSTRALIA,Other,Off Stradbroke Island,F,No,1.5 m [5'] shark,Watercraft
SOUTH AFRICA,Fishing related,40 km off Cape Point,Unknown,No,"Mako shark, 180-kg [397-lb]",Watercraft
USA,unknown,Galveston Island,Unknown,Unknown,Shark involvement prior to death was not confirmed,Invalid
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
SOUTH AFRICA,Fishing related,Robberg Point,Unknown,No,Whale shark,Watercraft
SOUTH AFRICA,unknown,"2 km from Macassar, False Bay",Unknown,No,White shark named “Spotty”,Watercraft
SOUTH AFRICA,unknown,"2 km from Macassar, False Bay",Unknown,No,White shark named “Spotty”,Watercraft
SOUTH AFRICA,Other,False Bay,Unknown,No,2.5 m [8.25'] white shark,Watercraft
SOUTH AFRICA,Fishing related,Hartenbos,Unknown,No,4 m [13'] shark,Provoked
AUSTRALIA,unknown,Harvey Bay,F,No,,Unprovoked
SOUTH AFRICA,Fishing related,Kalk Bay,Unknown,No,"White shark, 3 m [10'] ",Provoked
USA,Fishing related,"Off Fort Pierce, St Lucie County",M,No,6' shark,Unprovoked
NEW ZEALAND,Fishing related,"Te Kaha, East coast",M,Yes,Bronze whaler shark,Unprovoked
USA,Diving related,"Off Lahaina, Maui",M,Yes,,Unprovoked
AUSTRALIA,Other,Glenelg,Unknown,No,2.4 m [8'] shark,Watercraft
USA,Fishing related,Farallon Islands,M,No,White shark,Unprovoked
AUSTRALIA,Other,"Porpoise Pool, Tweed Heads",M,No,"Grey nurse shark, 10' ",Provoked
AUSTRALIA,Swimming related,"Queenscliff, Sydney",M,No,5' shark,Unprovoked
SOUTH AFRICA,Swimming related,"South Beach, Durban",M,No,Juvenile dusky shark,Unprovoked
AUSTRALIA,unknown,Lookout Point,M,No,,Unprovoked
USA,Surfing related,"Crescent Beach, St. Johns County",M,No,6' shark,Unprovoked
USA,Surfing related,"Sandy Hook, Monmouth County",M,Unknown,Shark involvement unconfirmed,Invalid
AUSTRALIA,Surfing related,"Lennox Head, Ballina",M,No,Bronze whaler,Unprovoked
USA,Surfing related,"Seal Beach, Orange County",Unknown,Unknown,Questionable incident,Invalid
SOUTH AFRICA,Other,Richards Bay,M,No,1.2 m [4'] shark,Unprovoked
SOUTH AFRICA,Surfing related,Cape St. Francis,M,No,"White shark, 2.4 m [8']",Unprovoked
USA,Other,"Daytona Beach, Volusia County",M,No,1.5 m [5'] shark,Unprovoked
USA,Diving related,"Usal Creek, Bear Harbor, Mendocino County",M,No,White shark,Unprovoked
HONG KONG,Swimming related,,M,No,,Unprovoked
USA,Other,,F,Yes,,Sea Disaster
AUSTRALIA,Diving related,"Fluted Cape, Bruny Island",M,Yes,White shark,Unprovoked
USA,Diving related,"Off Hutchinson Island, St Lucie County",M,No,,Unprovoked
AUSTRALIA,Surfing related,Maroochydore,M,No,12' shark,Unprovoked
USA,Surfing related,"Perch Rock, Point Conception, Santa Barbara County",M,No,"White shark, 5.8 m [19'] ",Unprovoked
USA,Diving related,"Point Conception, Santa Barbara County",M,No,"White shark, 5m to 6m",Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",F,No,1.2 m [4'] shark,Unprovoked
AUSTRALIA,Fishing related,"15 km north of Lancelin, north of Perth",M,No,2.4 m [8'] whaler shark,Provoked
USA,Surfing related,"Indiatlantic, Brevard County",M,No,,Unprovoked
USA,Swimming related,"Windy Hill, near Myrtle Beach, Horry County",M,No,4' shark,Unprovoked
USA,Swimming related,"North Myrtle Beach, Horry County",F,No,,Unprovoked
USA,Swimming related,5 miles off the coast,M,No,,Unprovoked
USA,Surfing related,"Daytona Beach, Volusia County",M,No,,Unprovoked
USA,unknown," New Smyrna Beach, Volusia County",M,No,,Provoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Swimming related,"Daytona Beach, Volusia County",F,No,,Unprovoked
ITALY,Diving related,Cervara,M,Unknown,Invalid,Invalid
SOUTH AFRICA,unknown,Durban,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
SOUTH AFRICA,Fishing related,Millers Point,M,No,"White shark, 600-kg [1323-lb]",Unprovoked
SOUTH AFRICA,Swimming related,Tongaat,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
AUSTRALIA,unknown,Mornington Island,F,No,,Unprovoked
USA,Other,"Clearwater Beach, Pinellas County",M,No,10' shark,Unprovoked
AUSTRALIA,Diving related,Southport Aquarium,Unknown,No,"Bronze whaler shark, 6'",Provoked
SOUTH AFRICA,Other,"Boggomsbaai, Mossel Bay",M,No,1.5 m [5']  shark,Provoked
BANGLADESH,Other,,Unknown,Yes,,Sea Disaster
SOUTH AFRICA,Surfing related,"Inyoni Rocks, Amanzimtoti",M,No,1.5 m [5'] shark,Unprovoked
SOUTH AFRICA,unknown,Plettenberg Bay,Unknown,No,"Mako shark, 3 m [10'] ",Watercraft
AUSTRALIA,Fishing related,(Point Sinclair) Penong,M,Yes,"White shark, 3 m [10'] ",Unprovoked
AUSTRALIA,Fishing related,Anglesea,M,No,"Carpet shark, 10' ",Unprovoked
AUSTRALIA,unknown,Currumbin Rock,M,No,,Unprovoked
SOUTH AFRICA,Fishing related,"Beespens, False Bay",M,No,"Copper shark, 50-kg [110-b] ",Provoked
AUSTRALIA,Surfing related,Coffin Bay,M,Yes,,Unprovoked
BERMUDA,Fishing related,,M,No,8' blue shark,Unprovoked
REUNION,unknown,,M,Yes,,Unprovoked
AUSTRALIA,Fishing related,Glenelg,M,No,White shark,Watercraft
AUSTRALIA,unknown,Geographe Bay,Unknown,No,,Unprovoked
USA,Swimming related,"Daytona Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"North of Point Sur, Monterey County",M,No,"White shark, 5.5 m to 6 m [18' to 20'] ",Unprovoked
USA,Diving related,"North Farallon Island, Farallon Islands",M,No,"White shark, 4 m to 5 m ",Unprovoked
ISRAEL,Swimming related,"North Beach, Eilat",F,No,"Shortfin mako shark, 2.3 m [7.5'] ",Unprovoked
USA,Surfing related,"Franklin Point, San Mateo County",M,No,"White shark, 5 m to 6 m [16.5 to 20'] ",Unprovoked
USA,Surfing related,"Franklin Point, San Mateo County",M,No,"White shark, 5 m to 6 m [16.5 to 20'] ",Unprovoked
AUSTRALIA,Fishing related,"Junpinpin, off Stradbroke Island",M,No,,Sea Disaster
USA,Surfing related,Myers Creek,M,No,"White shark, 4.5 m ",Unprovoked
HONG KONG,Swimming related,,M,No,,Unprovoked
HONG KONG,Swimming related,,M,Yes,,Unprovoked
HONG KONG,Swimming related,,M,No,,Unprovoked
HONG KONG,Swimming related,,M,No,,Unprovoked
CROATIA,unknown," Lokva Rogoznica, Omis",M,Yes,"White shark, 5 m [16.5'] ",Unprovoked
USA,Surfing related,"San Gregorio Beach, San Mateo County",M,No,"White shark, 5 m ",Unprovoked
USA,Diving related,"Albion Cove, Albion, Mendocino County",M,No,"White shark, 5.5 m [18'] ",Unprovoked
USA,Swimming related,"Back River, Savannah Beach, Chatham County",M,Yes,small sharks',Unprovoked
USA,Other,Gulf of Mexico,M,Yes,3.7 m [12'] sharks,Sea Disaster
USA,Swimming related,"New Smyrna Beach, Volusia County",F,No,,Unprovoked
USA,Surfing related,"Tomales Point, Marin County",M,No,"White shark, 5 m [16.5']",Unprovoked
BRAZIL,Fishing related,,M,Yes,,Sea Disaster
SOUTH AFRICA,Fishing related,Arniston,M,No,"Raggedtooth shark, 1.5 m [5'] ",Unprovoked
SOUTH AFRICA,Swimming related,Glengariff,M,No,,Unprovoked
USA,Swimming related,"Haulover Beach, Miami-Dade County",F,No,,Unprovoked
SOUTH AFRICA,Surfing related,"Inyoni Rocks, Amanzimtoti",M,No,Juvenile dusky shark,Unprovoked
SOUTH AFRICA,Surfing related,Amanzimtoti,M,No,1.8 m [6'] shark,Unprovoked
SOUTH AFRICA,Fishing related,Macassar,Unknown,No,White shark,Watercraft
SOUTH AFRICA,Swimming related,"Inyoni Rocks, Amanzimtoti",M,No,,Unprovoked
SOUTH AFRICA,Swimming related,"Inyoni Rocks, Amanzimtoti",M,No,,Unprovoked
SOUTH AFRICA,Fishing related,Macassar,Unknown,No,5 m white shark,Watercraft
SOUTH AFRICA,Fishing related,Macassar,Unknown,No,White shark,Watercraft
SOUTH AFRICA,Other,Cape Vidal,M,No,"Raggedtooth shark, 1 m ",Unprovoked
AUSTRALIA,Diving related,Streaky Bay,M,Yes,White shark,Unprovoked
SOUTH AFRICA,Swimming related,Amanzimtoti,M,No,2 m to 2.5 m [6.75'  to 8.25'] shark,Unprovoked
MOZAMBIQUE,Swimming related,Xai Xai,M,Yes,,Unprovoked
MOZAMBIQUE,Swimming related,Xai Xai,M,Yes,,Unprovoked
AUSTRALIA,Fishing related,Emu Channel,M,No,"Bronze whaler shark, 4' ",Unprovoked
CROATIA,unknown,Preluka Harbour,Unknown,Yes,,Unprovoked
MOZAMBIQUE,Fishing related,Xai Xai,M,No,,Unprovoked
MOZAMBIQUE,Swimming related,Xai Xai,M,Yes,,Unprovoked
PHILIPPINES,Swimming related,,M,Yes,,Unprovoked
USA,Swimming related,"Kalama Beach, Kihei, Maui",M,No,,Unprovoked
MEXICO,Swimming related,Acapulco Bay,M,Yes,,Unprovoked
AUSTRALIA,unknown,Swan River,Unknown,No,,Unprovoked
USA,Surfing related,"Ormond By The Sea, Volusia County",M,No,,Unprovoked
AUSTRALIA,unknown,Gin Arm Creek,M,No,,Unprovoked
SOUTH AFRICA,Fishing related,Mission Rocks,M,Yes,,Sea Disaster
BAHAMAS,Fishing related,"Memory Rock, 18 miles from NW end of the Island",M,No,7' to 8' bull shark,Unprovoked
HONG KONG,Swimming related,,M,Yes,,Unprovoked
MEXICO,Fishing related,Guadalupe Island,M,Yes,White shark,Unprovoked
EGYPT,unknown,Southern end of the Sinai Peninsula,M,No,Tiger shark,Unprovoked
AUSTRALIA,unknown,Palm Cove Beach,Unknown,Unknown,,Unprovoked
AUSTRALIA,Surfing related,"Point Lookout, Stradbroke Island",M,No,12' shark,Unprovoked
USA,Other,False Cape,M,No,1.5 m to 1.8 m [5' to 6']  blacktip shark,Unprovoked
HONG KONG,Swimming related,,M,No,,Unprovoked
MEXICO,Swimming related,"Revolcadero Beach, Acapulco",M,Yes,,Unprovoked
AUSTRALIA,unknown,Palm Island,M,No,,Unprovoked
MOZAMBIQUE,Fishing related,"Chongeone, Xai Xai",M,Yes,,Unprovoked
SOUTH AFRICA,Fishing related,Scottburgh,M,No,"2 m shark, possibly a dusky or blacktip shark",Unprovoked
MEXICO,Swimming related,"Revolcadero Beach, Acapulco",Unknown,Yes,,Unprovoked
SOUTH AFRICA,Fishing related,Durban,M,No,1 m shark,Provoked
USA,Surfing related,"Ho'okipa Beach, Pa'ia, Maui",M,No,1.2 m to 1.8 m [4' to 6'] shark observed in area,Unprovoked
PALAU,Diving related,Aulong Channel,M,No,Tiger shark,Unprovoked
PALAU,Diving related,,M,No,Grey reef shark,Unprovoked
SOUTH AFRICA,Surfing related,Queensberry Bay,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Millers Point,M,No,,Unprovoked
MOZAMBIQUE,Swimming related,Xai Xai,M,No,2 m to 3 m shark,Unprovoked
MEXICO,Surfing related,"Revolcadero Beach, Acapulco",M,Yes,,Unprovoked
SOUTH AFRICA,Swimming related,Hartenbos,M,No,"White shark, > 3 m [10']",Unprovoked
AUSTRALIA,unknown,Currumbin Rock,M,No,,Unprovoked
AUSTRALIA,unknown,"Marineland, Sydney",Unknown,No,,Provoked
REUNION,Fishing related,Basse Vallée,Unknown,Yes,,Unprovoked
AUSTRALIA,Fishing related,"Stevens Reef, 70 miles from Mackay",M,No,,Unprovoked
AUSTRALIA,Surfing related,Tabourie Beach,M,No,"Bronze whaler shark, 10' ",Unprovoked
USA,Diving related,"St. Croix, Cane Bay",M,Yes,Oceanic whitetip shark x 2,Unprovoked
